country,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Австралия,2ouFrmMwYik8nQX2n9SeZu,RÜFÜS DU SOL,On My Knees,0.683,0.571,1.0,-7.721,1.0,0.0286,0.0335,0.0616,0.0957,0.29,120.044,261001.0,4.0
Австралия,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,210560.0,4.0
Австралия,5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013.0,4.0
Австралия,6N1K5OVVCopBjGViHs2IvP,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),0.528,0.309,0.0,-7.398,1.0,0.0329,0.924,2.1e-06,0.282,0.307,133.83,185422.0,4.0
Австралия,1ZdhOMWyFR8Iv9eylMGYg2,Labrinth,Mount Everest,0.494,0.428,0.0,-7.239,0.0,0.203,0.233,0.0752,0.0816,0.441,87.723,157497.0,4.0
Австралия,1v7L65Lzy0j0vdpRjJewt1,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",0.686,0.735,2.0,-4.616,1.0,0.264,0.00921,0.00066,0.342,0.0596,171.355,322227.0,4.0
Австрия,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0
Австрия,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,168602.0,4.0
Австрия,3Oww84xrmgjyr5J1ilOmAf,Luude,Down Under (feat. Colin Hay),0.308,0.86,11.0,-4.111,0.0,0.168,0.0116,0.000828,0.277,0.0387,171.835,158774.0,4.0
Австрия,1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,173381.0,4.0
Австрия,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901.0,4.0
Австрия,3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies,Where Are You Now,0.671,0.636,6.0,-8.117,0.0,0.103,0.515,0.000411,0.172,0.262,120.966,148197.0,4.0
Австрия,0h14I7cPYi1RZG6GmVpMso,CIVO,Weg von mir,0.566,0.481,9.0,-10.706,1.0,0.205,0.783,0.0,0.575,0.671,143.857,136667.0,3.0
Австрия,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,207853.0,4.0
Австрия,2c5CLmXwJ4V0IIqJ6B68gq,RAF Camora,Tageslicht,0.774,0.558,10.0,-8.915,0.0,0.0811,0.282,0.383,0.151,0.213,122.041,173199.0,4.0
Австрия,7rglLriMNBPAyuJOMGwi39,Elton John,Cold Heart - PNAU Remix,0.795,0.8,1.0,-6.32,1.0,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735.0,4.0
Австрия,5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI,STAY (with Justin Bieber),0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0,4.0
Австрия,59CfNbkERJ3NoTXDvoURjj,Dove Cameron,Boyfriend,0.345,0.612,7.0,-6.543,0.0,0.0608,0.232,0.0,0.194,0.232,179.773,153000.0,3.0
Австрия,3eJH2nAjvNXdmPfBkALiPZ,Jason Derulo,Acapulco,0.774,0.792,10.0,-4.021,1.0,0.0523,0.051,0.0,0.155,0.507,122.062,139672.0,4.0
Австрия,2hBkoDhuGk2AtSCprEFDFP,Ray Dalton,Manila,0.678,0.735,7.0,-5.996,1.0,0.0617,0.234,0.0,0.423,0.71,150.091,144621.0,4.0
Австрия,5Th2Rs48Gz3iqfcGMXG5PC,1986zig,Kopf aus,0.637,0.649,11.0,-4.938,1.0,0.203,0.464,0.0,0.163,0.525,175.869,136120.0,4.0
Австрия,18asYwWugKjjsihZ0YvRxO,Tiësto,The Motto,0.754,0.763,7.0,-4.627,0.0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819.0,4.0
Австрия,2Oi1IJ6JEUX1aya9VUAA1Z,RAF Camora,Blaues Licht,0.819,0.828,8.0,-4.906,0.0,0.108,0.39,0.00611,0.258,0.693,144.953,144264.0,4.0
Австрия,5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),0.741,0.691,10.0,-7.395,0.0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353.0,4.0
Австрия,2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0,4.0
Австрия,7EtfwHVS8FcciOBU1VnT8G,FOURTY,WENN DU MICH VERMISST,0.684,0.519,8.0,-7.639,1.0,0.101,0.226,0.00102,0.106,0.573,179.877,152583.0,4.0
Австрия,20on25jryn53hWghthWWW3,ACRAZE,Do It To It,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890.0,4.0
Австрия,1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,0.671,0.673,11.0,-6.941,0.0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720.0,4.0
Австрия,2xFMvrqk99biaLQavjufta,Sido,Mit Dir,0.823,0.446,8.0,-7.556,0.0,0.246,0.216,0.000119,0.119,0.495,114.03,169501.0,4.0
Австрия,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,0.575,0.568,9.0,-5.509,0.0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280.0,4.0
Австрия,0BbYTaDH81up32xTKIGjbS,Katja Krasavice,Onlyfans,0.964,0.54,5.0,-8.462,0.0,0.0763,0.0519,0.0,0.101,0.771,122.019,175164.0,4.0
Австрия,3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747.0,4.0
